Dòng,Kanji,Hán Việt,Hiragana,Nghĩa,Lỗi,Ghi chú / gợi ý sửa
138,"断つ/絶つ","ĐOẠN/ĐOÁN TUYỆT","たつ","Cắt, chấm dứt","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 断つ=Cắt đứt (quan hệ, nguồn cung) | 絶つ=Chấm dứt, đoạn tuyệt (thói quen, sự sống)"
187,"懸ける／賭ける","HUYỀN ĐỔ","かける","Cá độ, đặt cược","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 懸ける=Treo, đặt lên (giải thưởng, danh dự) | 賭ける=Đặt cược, cá cược"
243,"温和／穏和な","ÔN HÒA ỔN","おんわな","Ôn hòa","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 温和 và 穏和 cùng nghĩa ôn hoà, gần như thay thế được cho nhau"
399,"言いつける","NGÔN","いいつける","Ra lệnh, báo cáo","Trùng với dòng 125 (cùng từ và cùng cách đọc).","Trùng thật với dòng 125 — bỏ dòng này (giáo trình dạy lại)"
539,"早急に","TẢO CẤP","そうきゅうに／さっきゅうに","Khẩn cấp, gấp rút","Từ có nhiều cách đọc — tách mỗi cách đọc thành một dòng riêng (cùng nghĩa).","MỘT từ, HAI cách đọc, CÙNG nghĩa — không phải hai từ khác nhau. Tách 2 dòng: (早急に, そうきゅうに, Khẩn cấp) và (早急に, さっきゅうに, Khẩn cấp)"
545,"じきに／もうじき","","じきに／もうじき","Sớm","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","じきに và もうじき là hai từ khác nhau, cùng nghĩa ""sớm"" — tách 2 dòng, giữ chung nghĩa file đã cho"
759,"はみ出る／はみ出す","XUẤT","はみでる／はみだす","Lòi ra, thò ra","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: はみ出る=Lòi ra, thò ra (nội động từ) | はみ出す=Làm lòi ra, đẩy ra (tha động từ)"
967,"行き違い","HÀNH VI","いきちがい／ゆきちがい","Hiểu lầm, lạc","Từ có nhiều cách đọc — tách mỗi cách đọc thành một dòng riêng (cùng nghĩa).","MỘT từ, HAI cách đọc, CÙNG nghĩa. Tách 2 dòng: (行き違い, いきちがい, Hiểu lầm) và (行き違い, ゆきちがい, Hiểu lầm)"
1001,"共存","CỘNG TỒN","きょうぞん／きょうそん","Cùng tồn tại","Từ có nhiều cách đọc — tách mỗi cách đọc thành một dòng riêng (cùng nghĩa).","MỘT từ, HAI cách đọc, CÙNG nghĩa. Tách 2 dòng: (共存, きょうぞん) và (共存, きょうそん), cùng nghĩa Cùng tồn tại"
1007,"情緒","TÌNH TỰ","じゅうちょ／じゅうしょ","Cảm xúc, tinh thần","Từ có nhiều cách đọc — tách mỗi cách đọc thành một dòng riêng (cùng nghĩa).","MỘT từ, HAI cách đọc — nhưng kiểm lại chính tả: 情緒 thường đọc じょうちょ/じょうしょ, file ghi じゅうちょ／じゅうしょ (có thể lỗi gõ ょ→ゅ)"
