Dòng,Hiragana,Kanji,Hán Việt,Nghĩa,Bài,Lỗi,Ghi chú / gợi ý sửa
2,"みます","見ます、診ます","KIẾN CHẨN","Xem, khám bệnh","Bài 26","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 見ます=Xem, nhìn | 診ます=Khám bệnh"
3,"さがします","探します、捜します","THÁM SƯU","Tìm, tìm kiếm","Bài 26","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 探します=Tìm (cái muốn có) | 捜します=Tìm (cái bị mất)"
118,"かたち","形","HÌNH","Hình, hình dáng","Bài 28","Trùng với dòng 90 (cùng từ và cùng cách đọc).",""
136,"じぶん","自分","TỰ PHÂN","Bản thân, mình","Bài 28","Trùng với dòng 99 (cùng từ và cùng cách đọc).",""
137,"しょうらい","将来","TƯỚNG LAI","Tương lai","Bài 28","Trùng với dòng 100 (cùng từ và cùng cách đọc).",""
183,"ポケット","","","Túi áo, túi quần (pocket)","Bài 29","Trùng với dòng 93 (cùng từ và cùng cách đọc).",""
217,"おしらせ","お知らせ","TRI","Bản thông báo","Bài 30","Trùng với dòng 145 (cùng từ và cùng cách đọc).",""
228,"かべ","壁","BÍCH","Bức tường","Bài 30","Trùng với dòng 189 (cùng từ và cùng cách đọc).",""
284,"いや「な」","嫌[な]","HIỀM","Chán, ghét, không chấp nhận được","Bài 31","Trùng với dòng 249 (cùng từ và cùng cách đọc).",""
287,"じゆうに","自由に","TỰ DO","Tự do","Bài 31","Trùng với dòng 96 (cùng từ và cùng cách đọc).",""
303,"[びょうきが~]なおります","[病気が~]治ります，直ります","BỆNH KHÍ TRỊ TRỰC","Khỏi [bệnh]","Bài 32","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 治ります=Khỏi bệnh | 直ります=Được sửa, hồi phục"
321,"にし","西","TÂY","Tây","Bài 32","Trùng với dòng 194 (cùng từ và cùng cách đọc).",""
374,"むりょう","無料","VÔ LIỆU","Miễn phí","Bài 33","Trùng với dòng 149 (cùng từ và cùng cách đọc).",""
395,"たとえば","例えば","LỆ","Ví dụ","Bài 33","Trùng với dòng 94 (cùng từ và cùng cách đọc).",""
443,"ーぶん-","一分","PHÂN","-Suất, – người","Bài 34","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","Cột kanji nên là ー分, cách đọc ーふん/ーぷん. Hiện ghi 一分 và ーぶん-"
446,"ーこ-","一個","CÁ","-Cái, -quả, - miếng (dùng để đếm vật nhỏ)","Bài 34","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","Cột kanji nên là ー個, cách đọc ーこ. Bỏ dấu gạch thừa ở cuối"
458,"こまります","困ります","KHỐN","Rắc rối, khó xử, có vấn đề","Bài 35","Trùng với dòng 344 (cùng từ và cùng cách đọc).",""
468,"むら","村","THÔN","Làng","Bài 35","Trùng với dòng 282 (cùng từ và cùng cách đọc).",""
519,"けんこう","健康","KIỆN KHANG","Sức khỏe","Bài 36","Trùng với dòng 347 (cùng từ và cùng cách đọc).",""
529,"できるだけ","","","Cố gắng","Bài 36","Trùng với dòng 392 (cùng từ và cùng cách đọc).",""
550,"とびます","飛びます","PHI","Bay","Bài 36","Trùng với dòng 98 (cùng từ và cùng cách đọc).",""
552,"うちゅう","宇宙","VŨ TRỤ","Vũ trụ","Bài 36","Trùng với dòng 44 (cùng từ và cùng cách đọc).",""
553,"ちきゅう","地球","ĐỊA CẦU","Địa cầu, trái đất","Bài 36","Trùng với dòng 247 (cùng từ và cùng cách đọc).",""
582,"まんが","漫画","MẠN HỌA","Truyện tranh","Bài 37","Trùng với dòng 88 (cùng từ và cùng cách đọc).",""
583,"せかいじゅう","世界中","THẾ GIỚI TRUNG","Khắp thế giới, toàn thế giới","Bài 37","Trùng với dòng 288 (cùng từ và cùng cách đọc).",""
594,"りようします","利用します","LỢI DỤNG","Lợi dụng, sử dụng","Bài 37","Trùng với dòng 404 (cùng từ và cùng cách đọc).",""
596,"ーせいき","一世紀","THẾ KỈ","Thế kỷ -","Bài 37","Trùng với dòng 544 (cùng từ và cùng cách đọc).",""
608,"はこびます","運びます","VẬN","Chở, vận chuyển","Bài 38","Trùng với dòng 549 (cùng từ và cùng cách đọc).",""
609,"なくなります","亡くなります","VONG","Mất, qua đời (cách nói gián tiếp của しにます (bài 39))","Bài 38","Trùng với dòng 402 (cùng từ và cùng cách đọc).",""
622,"えきまえ","駅前","DỊCH TIỀN","Khu vực trước nhà ga","Bài 38","Trùng với dòng 192 (cùng từ và cùng cách đọc).",""
635,"~という本","","","Quyển sách có tên là ~","Bài 38","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","Cách đọc thiếu: ~というほん (cột đang lặp lại dạng có chữ Hán)"
641,"5ねんせい","5年生","NIÊN SINH","Học sinh năm thứ 5","Bài 38","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","Cách đọc nên là ごねんせい (đang để số 5)"
647,"だいすき「な」","大好き[な]","ĐẠI HẢO","Rất thích","Bài 38","Trùng với dòng 87 (cùng từ và cùng cách đọc).",""
651,"ふしぎ「な」","不思議[な]","BẤT TƯ NGHỊ","Bí ẩn, kỳ thú, khó hiểu","Bài 38","Trùng với dòng 92 (cùng từ và cùng cách đọc).",""
664,"けんかします","","","Cãi nhau","Bài 39","Trùng với dòng 650 (cùng từ và cùng cách đọc).",""
669,"うれしい","","","Vui, mừng","Bài 39","Trùng với dòng 248 (cùng từ và cùng cách đọc).",""
672,"じしん","地震","ĐỊA CHẤN","Động đất","Bài 39","Trùng với dòng 188 (cùng từ và cùng cách đọc).",""
698,"はかります","測ります、量ります","TRẮC LƯỢNG","Đo, cân","Bài 40","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 測ります=Đo | 量ります=Cân"
706,"うちゅう","宇宙","VŨ TRỤ","Vũ trụ","Bài 40","Trùng với dòng 44 (cùng từ và cùng cách đọc).",""
707,"ちきゅう","地球","ĐỊA CẦU","Trái đất","Bài 40","Trùng với dòng 247 (cùng từ và cùng cách đọc).",""
732,"ーグラム","","","—Gam","Bài 40","Trùng với dòng 445 (cùng từ và cùng cách đọc).",""
754,"いっしょうけんめい","一生懸命","NHẤT SINH HUYỀN MỆNH/MẠNG","Hết sức, chăm chỉ","Bài 40","Trùng với dòng 603 (cùng từ và cùng cách đọc).",""
761,"やります","","","Cho, tặng (dùng với người dưới hoặc bằng vai)","Bài 41","Trùng với dòng 5 (cùng từ và cùng cách đọc).",""
808,"すると","","","Thế rồi, sau đó","Bài 41","Trùng với dòng 250 (cùng từ và cùng cách đọc).",""
820,"こどもたち","子どもたち","TỬ","Trẻ em, trẻ con, bọn trẻ","Bài 42","Trùng với dòng 86 (cùng từ và cùng cách đọc).",""
823,"れきし","歴史","LỊCH SỬ","Lịch sử","Bài 42","Trùng với dòng 543 (cùng từ và cùng cách đọc).",""
830,"あんぜん","安全","AN TOÀN","An toàn","Bài 42","Trùng với dòng 551 (cùng từ và cùng cách đọc).",""
841,"ざいりょう","材料","TÀI LIỆU","Nguyên liệu","Bài 42","Trùng với dòng 442 (cùng từ và cùng cách đọc).",""
846,"ある~","","","Có ~, một ~","Bài 42","Trùng với dòng 246 (cùng từ và cùng cách đọc).",""
847,"いっしょうけんめい","一生懸命","NHẤT SINH HUYỀN MỆNH","Hết sức, chăm chỉ","Bài 42","Trùng với dòng 603 (cùng từ và cùng cách đọc).",""
856,"なべ","","","Cái chảo, cái nồi","Bài 42","Trùng với dòng 450 (cùng từ và cùng cách đọc).",""
857,"どんぶり","","","Cái bát tô","Bài 42","Trùng với dòng 455 (cùng từ và cùng cách đọc).",""
861,"また","","","Và, thêm nữa","Bài 42","Trùng với dòng 394 (cùng từ và cùng cách đọc).",""
864,"いまでは","今では","KIM","Bây giờ (thì)","Bài 42","Trùng với dòng 695 (cùng từ và cùng cách đọc).",""
905,"うすい","薄い","BẠC","Nhạt","Bài 44","Trùng với dòng 817 (cùng từ và cùng cách đọc).",""
928,"また","","","Thêm nữa","Bài 44","Trùng với dòng 394 (cùng từ và cùng cách đọc).",""
931,"たとえば","例えば","LỆ","Ví dụ","Bài 44","Trùng với dòng 94 (cùng từ và cùng cách đọc).",""
952,"きゅうに","急に","CẤP","Gấp","Bài 45","Trùng với dòng 752 (cùng từ và cùng cách đọc).",""
962,"ねむります","眠ります","MIÊN","Ngủ","Bài 45","Trùng với dòng 599 (cùng từ và cùng cách đọc).",""
963,"めがさめます","目が覚めます","MỤC GIÁC","Tỉnh giấc","Bài 45","Trùng với dòng 251 (cùng từ và cùng cách đọc).",""
973,"るす","留守","LƯU THỦ","Đi vắng","Bài 46","Trùng với dòng 399 (cùng từ và cùng cách đọc).",""
