Dòng,Từ vựng,Cách đọc trong file,Hán Việt,Nghĩa,Lỗi,Gợi ý cách đọc đúng,Ghi chú
199,"そちら","そちら","","Ông/bà, phía ông/ phía bà","Trùng với dòng 113 (cùng từ và cùng cách đọc).","",""
321,"メキシコ","メキシコ","","Mexico","Trùng với dòng 60 (cùng từ và cùng cách đọc).","",""
454,"夫/主人","おっと/しゅじん","PHU CHỦ NHÂN","Chồng (dùng khi nói về chồng mình)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","おっと","Tách thành 2 dòng: 夫/おっと và 主人/しゅじん"
456,"妻/家内","つま/かない","THÊ GIA NỘI","Vợ (dùng khi nói về vợ mình)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","つま","Tách thành 2 dòng: 妻/つま và 家内/かない"
464,"~から","~から","","Vì ~","Trùng với dòng 196 (cùng từ và cùng cách đọc).","",""
466,"ざんねんです[ね]。残念です[ね]","ざんねんです[ね]。残念です[ね]","","Thật đáng tiếc nhỉ./ buồn nhỉ.","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","ざんねんですね","Cột cách đọc lẫn cả chữ Hán"
467,"すみません","すみません","","Xin lỗi.","Trùng với dòng 142 (cùng từ và cùng cách đọc).","",""
516,"一段目","一だんめ","ĐOẠN MỤC","Giá thứ -, tầng thứ - (「だん」được dùng cho giá sách v.v.)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いちだんめ",""
524,"休みます","やすみます","HƯU","Nghỉ [làm việc]","Trùng với dòng 154 (cùng từ và cùng cách đọc).","",""
538,"-人","一にん","NHÂN","- Người","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いちにん",""
539,"-台","一だい","ĐÀI","- Cái (dùng để đếm máy móc, xe cộ v.v.)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いちだい",""
540,"-枚","一まい","MAI","- Tờ, tấm (dùng để đếm những vật mỏng như giấy, con tem v.v.)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いちまい",""
541,"一回","一かい","HỒI","- Lần","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いっかい",""
561,"一時間","一じかん","THỜI GIAN","- Tiếng","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いちじかん",""
562,"一週間","一しゅうかん","CHU GIAN","- Tuần","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いっしゅうかん",""
563,"-か月","一かげつ","NGUYỆT","- Tháng","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いっかげつ",""
564,"一年","一ねん","NIÊN","- Năm","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いちねん",""
574,"行っていらっしゃい","行っていらっしゃい","","Anh/chị đi nhé. (nguyên nghĩa: anh/chị đi rồi lại về nhé.)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いっていらっしゃい",""
575,"行ってまいります","行ってまいります","","Tôi đi đây. (nguyên nghĩa: tôi đi rồi sẽ về.)","Cách đọc phải viết bằng kana (hiragana hoặc katakana).","いってまいります",""
576,"それから","それから","","Sau đó, tiếp nữa","Trùng với dòng 315 (cùng từ và cùng cách đọc).","",""
612,"どちら","どちら","","Cái nào","Trùng với dòng 115 (cùng từ và cùng cách đọc).","",""
655,"そうですね","そうですね","","Đúng thế.","Trùng với dòng 417 (cùng từ và cùng cách đọc).","",""
675,"教えます","おしえます (II)","GIÁO","Nói, cho biết [địa chỉ]","Trùng với dòng 329 (cùng từ và cùng cách đọc).","",""
803,"先生","せんせい","TIÊN SINH","Bác sĩ (cách gọi bác sĩ)","Trùng với dòng 12 (cùng từ và cùng cách đọc).","",""
854,"お茶","おちゃ","TRÀ","Trà đạo","Trùng với dòng 291 (cùng từ và cùng cách đọc).","",""
942,"よく","よく","","Thường, hay","Trùng với dòng 458 (cùng từ và cùng cách đọc).","",""
944,"こちら","こちら","","Cái này (cách nói lịch sự của [これ])","Trùng với dòng 112 (cùng từ và cùng cách đọc).","",""
968,"~屋","~や","ỐC","Cửa hàng ~","Trùng với dòng 500 (cùng từ và cùng cách đọc).","",""
